,Time,Timestamp,DC Voltage PV1(V),AC Output Total Power (Active)(W),Daily Generation (Active)(kWh),Wind Speed ( MPH ),Wind Average ( MPH )
2021-10-25 00:00:00,2021-10-25 00:00:12,2021-10-25 00:00:00,307.1,898.26,0.4,53,32
2021-10-25 00:05:00,2021-10-25 00:05:35,2021-10-25 00:05:00,353,1617.62,0.5,49,37
2021-10-25 00:10:00,2021-10-25 00:10:57,2021-10-25 00:10:00,327.6,1117.93,0.6,61,47
2021-10-25 00:15:00,2021-10-25 00:16:21,2021-10-25 00:15:00,321.6,1097.46,0.8,51,38
2021-10-25 00:20:00,2021-10-25 00:21:43,2021-10-25 00:20:00,343.2,1405.4,0.9,59,43
2021-10-25 00:25:00,2021-10-25 00:27:05,2021-10-25 00:25:00,284.1,692.49,1,49,35
2021-10-25 00:30:00,2021-10-25 00:32:27,2021-10-25 00:30:00,341.3,1397.62,1.1,57,38
2021-10-25 00:40:00,2021-10-25 00:37:50,2021-10-25 00:40:00,316.6,987.79,1.2,51,41
2021-10-25 00:45:00,2021-10-25 00:43:13,2021-10-25 00:45:00,328.6,1185.42,1.3,48,40
2021-10-25 00:50:00,2021-10-25 00:48:36,2021-10-25 00:50:00,311.7,911.72,1.5,51,38
2021-10-25 00:55:00,2021-10-25 00:53:57,2021-10-25 00:55:00,286.7,698.83,1.6,51,39
2021-10-25 01:00:00,2021-10-25 00:59:20,2021-10-25 01:00:00,382.3,2236.45,1.7,46,35
2021-10-25 01:05:00,2021-10-25 01:04:42,2021-10-25 01:05:00,349,1531.23,1.8,38,28
2021-10-25 01:10:00,2021-10-25 01:10:05,2021-10-25 01:10:00,354.3,1623.57,1.9,43,30
2021-10-25 01:15:00,2021-10-25 01:15:28,2021-10-25 01:15:00,255.1,422.82,2,44,33
2021-10-25 01:20:00,2021-10-25 01:20:51,2021-10-25 01:20:00,256.3,424.81,2.1,40,32
2021-10-25 01:25:00,2021-10-25 01:26:13,2021-10-25 01:25:00,355.3,1628.16,2.2,46,36
2021-10-25 01:30:00,2021-10-25 01:31:34,2021-10-25 01:30:00,208.8,203.58,2.3,43,34
2021-10-25 01:35:00,2021-10-25 01:36:57,2021-10-25 01:35:00,260.5,507.97,2.4,43,34
2021-10-25 01:40:00,2021-10-25 01:42:20,2021-10-25 01:40:00,375.5,2086.84,2.4,48,34
2021-10-25 01:50:00,2021-10-25 01:47:43,2021-10-25 01:50:00,320.5,1093.7,2.5,44,31
2021-10-25 01:55:00,2021-10-25 01:53:05,2021-10-25 01:55:00,349.8,1534.74,2.6,38,29
2021-10-25 02:00:00,2021-10-25 01:58:27,2021-10-25 02:00:00,319,995.28,2.7,40,28
2021-10-25 02:05:00,2021-10-25 02:03:50,2021-10-25 02:05:00,325.7,1111.45,2.8,36,29
2021-10-25 02:10:00,2021-10-25 02:09:12,2021-10-25 02:10:00,343.6,1407.04,2.8,36,30
2021-10-25 02:15:00,2021-10-25 02:14:36,2021-10-25 02:15:00,384.1,2246.98,2.9,48,27
2021-10-25 02:20:00,2021-10-25 02:19:58,2021-10-25 02:20:00,362.5,1767.18,3,44,30
2021-10-25 02:25:00,2021-10-25 02:25:20,2021-10-25 02:25:00,339.8,1325.22,3,43,33
2021-10-25 02:30:00,2021-10-25 02:30:42,2021-10-25 02:30:00,362,1764.75,3.1,51,40
2021-10-25 02:35:00,2021-10-25 02:36:05,2021-10-25 02:35:00,238.8,349.24,3.2,40,31
2021-10-25 02:40:00,2021-10-25 02:41:28,2021-10-25 02:40:00,334.2,1205.62,3.3,46,34
2021-10-25 02:45:00,2021-10-25 02:46:50,2021-10-25 02:45:00,378.8,2031.31,3.4,53,37
2021-10-25 02:50:00,2021-10-25 02:52:12,2021-10-25 02:50:00,253.3,419.84,3.5,40,35
2021-10-25 03:00:00,2021-10-25 02:57:34,2021-10-25 03:00:00,330,1190.47,3.6,41,33
2021-10-25 03:05:00,2021-10-25 03:02:57,2021-10-25 03:05:00,221.6,259.27,3.7,44,31
2021-10-25 03:10:00,2021-10-25 03:08:20,2021-10-25 03:10:00,254.7,422.16,3.8,51,38
2021-10-25 03:15:00,2021-10-25 03:13:43,2021-10-25 03:15:00,362.1,1765.23,3.9,44,30
2021-10-25 03:20:00,2021-10-25 03:19:06,2021-10-25 03:20:00,299.2,787.64,3.9,43,31
2021-10-25 03:25:00,2021-10-25 03:24:28,2021-10-25 03:25:00,240.2,351.29,4,40,29
2021-10-25 03:30:00,2021-10-25 03:29:49,2021-10-25 03:30:00,366.2,1856.63,4.1,35,29
2021-10-25 03:35:00,2021-10-25 03:35:12,2021-10-25 03:35:00,329.6,1285.44,4.2,38,26
2021-10-25 03:40:00,2021-10-25 03:40:39,2021-10-25 03:40:00,198.8,193.83,4.2,30,22
2021-10-25 03:45:00,2021-10-25 03:46:01,2021-10-25 03:45:00,239,349.53,4.2,32,22
2021-10-25 03:50:00,2021-10-25 03:51:23,2021-10-25 03:50:00,271.3,529.03,4.3,36,27
2021-10-25 03:55:00,2021-10-25 03:56:46,2021-10-25 03:55:00,186.8,91.06,4.3,32,23
2021-10-25 04:00:00,2021-10-25 04:02:09,2021-10-25 04:00:00,189,128.99,4.3,44,29
2021-10-25 04:10:00,2021-10-25 04:07:32,2021-10-25 04:10:00,248.8,363.87,4.4,38,26
2021-10-25 04:15:00,2021-10-25 04:12:55,2021-10-25 04:15:00,264.8,516.36,4.4,38,27
2021-10-25 04:20:00,2021-10-25 04:18:16,2021-10-25 04:20:00,245.3,358.75,4.5,38,28
2021-10-25 04:25:00,2021-10-25 04:23:38,2021-10-25 04:25:00,367.6,1863.73,4.6,30,20
2021-10-25 04:30:00,2021-10-25 04:29:01,2021-10-25 04:30:00,185.7,90.52,4.6,36,27
2021-10-25 04:35:00,2021-10-25 04:34:24,2021-10-25 04:35:00,293.1,714.43,4.7,32,26
2021-10-25 04:40:00,2021-10-25 04:39:47,2021-10-25 04:40:00,227.6,266.29,4.7,40,29
2021-10-25 04:45:00,2021-10-25 04:45:09,2021-10-25 04:45:00,260.2,456.65,4.8,38,30
2021-10-25 04:50:00,2021-10-25 04:50:30,2021-10-25 04:50:00,311.7,972.5,4.9,40,31
2021-10-25 04:55:00,2021-10-25 04:55:53,2021-10-25 04:55:00,367,1860.69,5,40,30
2021-10-25 05:00:00,2021-10-25 05:01:16,2021-10-25 05:00:00,254.3,421.5,5.1,38,30
2021-10-25 05:05:00,2021-10-25 05:06:39,2021-10-25 05:05:00,258.2,427.96,5.2,41,27
2021-10-25 05:10:00,2021-10-25 05:12:02,2021-10-25 05:10:00,296.2,721.98,5.2,41,30
2021-10-25 05:15:00,2021-10-25 05:17:24,2021-10-25 05:15:00,245.5,359.04,5.3,33,25
2021-10-25 05:25:00,2021-10-25 05:22:46,2021-10-25 05:25:00,358.8,1749.14,5.4,33,25
