,Time,Timestamp,DC Voltage PV1(V),AC Output Total Power (Active)(W),Daily Generation (Active)(kWh),Wind Speed ( MPH ),Wind Average ( MPH ),Week_label,Power_round,Voltage_round
2021-12-01 00:00:00,2021-11-30 23:57:31,2021-12-01 00:00:00,0.1,0.0,1.8,8.0,6.0,7,0.0,0.0
2021-12-01 00:05:00,2021-12-01 00:02:53,2021-12-01 00:05:00,0.1,0.0,0.0,8.0,7.0,7,0.0,0.0
2021-12-01 00:10:00,2021-12-01 00:08:14,2021-12-01 00:10:00,0.1,0.0,0.0,9.0,7.0,7,0.0,0.0
2021-12-01 00:15:00,2021-12-01 00:13:36,2021-12-01 00:15:00,0.1,0.0,0.0,8.0,5.0,7,0.0,0.0
2021-12-01 00:20:00,2021-12-01 00:18:57,2021-12-01 00:20:00,0.1,0.0,0.0,4.0,2.0,7,0.0,0.0
2021-12-01 00:25:00,2021-12-01 00:24:19,2021-12-01 00:25:00,0.1,0.0,0.0,3.0,2.0,7,0.0,0.0
2021-12-01 00:30:00,2021-12-01 00:29:40,2021-12-01 00:30:00,0.1,0.0,0.0,3.0,2.0,7,0.0,0.0
2021-12-01 00:35:00,2021-12-01 00:35:03,2021-12-01 00:35:00,0.1,0.0,0.0,4.0,3.0,7,0.0,0.0
2021-12-01 00:40:00,2021-12-01 00:40:25,2021-12-01 00:40:00,0.1,0.0,0.0,6.0,5.0,7,0.0,0.0
2021-12-01 00:45:00,2021-12-01 00:45:46,2021-12-01 00:45:00,0.1,0.0,0.0,6.0,5.0,7,0.0,0.0
2021-12-01 00:50:00,2021-12-01 00:51:08,2021-12-01 00:50:00,0.1,0.0,0.0,8.0,6.0,7,0.0,0.0
2021-12-01 00:55:00,2021-12-01 00:56:29,2021-12-01 00:55:00,0.1,0.0,0.0,8.0,7.0,7,0.0,0.0
2021-12-01 01:00:00,2021-12-01 01:01:51,2021-12-01 01:00:00,0.1,0.0,0.0,9.0,8.0,7,0.0,0.0
2021-12-01 01:05:00,2021-12-01 01:07:14,2021-12-01 01:05:00,0.1,0.0,0.0,9.0,8.0,7,0.0,0.0
2021-12-01 01:15:00,2021-12-01 01:12:35,2021-12-01 01:15:00,0.1,0.0,0.0,8.0,7.0,7,0.0,0.0
2021-12-01 01:20:00,2021-12-01 01:17:57,2021-12-01 01:20:00,0.1,0.0,0.0,8.0,6.0,7,0.0,0.0
2021-12-01 01:25:00,2021-12-01 01:23:18,2021-12-01 01:25:00,0.1,0.0,0.0,9.0,8.0,7,0.0,0.0
2021-12-01 01:30:00,2021-12-01 01:28:40,2021-12-01 01:30:00,0.1,0.0,0.0,11.0,9.0,7,0.0,0.0
2021-12-01 01:35:00,2021-12-01 01:34:02,2021-12-01 01:35:00,0.1,0.0,0.0,16.0,13.0,7,0.0,0.0
2021-12-01 01:40:00,2021-12-01 01:39:24,2021-12-01 01:40:00,0.1,0.0,0.0,16.0,14.0,7,0.0,0.0
2021-12-01 01:45:00,2021-12-01 01:44:46,2021-12-01 01:45:00,2.5,0.0,0.0,14.0,11.0,7,0.0,0.0
2021-12-01 01:50:00,2021-12-01 01:50:07,2021-12-01 01:50:00,0.5,0.0,0.0,14.0,11.0,7,0.0,0.0
2021-12-01 01:55:00,2021-12-01 01:55:28,2021-12-01 01:55:00,2.3,0.0,0.0,14.0,11.0,7,0.0,0.0
2021-12-01 02:00:00,2021-12-01 02:00:50,2021-12-01 02:00:00,0.6,0.0,0.0,16.0,12.0,7,0.0,0.0
2021-12-01 02:05:00,2021-12-01 02:06:11,2021-12-01 02:05:00,189.2,129.12,0.1,16.0,13.0,7,130.0,190.0
2021-12-01 02:10:00,2021-12-01 02:11:34,2021-12-01 02:10:00,168.1,0.0,0.1,11.0,10.0,7,0.0,170.0
2021-12-01 02:15:00,2021-12-01 02:16:55,2021-12-01 02:15:00,179.1,0.0,0.1,11.0,9.0,7,0.0,180.0
2021-12-01 02:20:00,2021-12-01 02:22:17,2021-12-01 02:20:00,166.8,0.0,0.1,11.0,7.0,7,0.0,170.0
2021-12-01 02:30:00,2021-12-01 02:27:38,2021-12-01 02:30:00,6.3,0.0,0.1,12.0,9.0,7,0.0,10.0
2021-12-01 02:35:00,2021-12-01 02:33:01,2021-12-01 02:35:00,93.7,0.0,0.1,11.0,9.0,7,0.0,90.0
2021-12-01 02:40:00,2021-12-01 02:38:22,2021-12-01 02:40:00,148.6,0.0,0.1,9.0,8.0,7,0.0,150.0
2021-12-01 02:45:00,2021-12-01 02:43:45,2021-12-01 02:45:00,85.8,0.0,0.1,9.0,8.0,7,0.0,90.0
2021-12-01 02:50:00,2021-12-01 02:49:07,2021-12-01 02:50:00,133.6,0.0,0.1,9.0,8.0,7,0.0,130.0
2021-12-01 02:55:00,2021-12-01 02:54:28,2021-12-01 02:55:00,119.5,0.0,0.1,12.0,10.0,7,0.0,120.0
2021-12-01 03:00:00,2021-12-01 02:59:50,2021-12-01 03:00:00,183.0,0.0,0.1,12.0,11.0,7,0.0,180.0
2021-12-01 03:05:00,2021-12-01 03:05:11,2021-12-01 03:05:00,182.3,0.0,0.1,12.0,10.0,7,0.0,180.0
2021-12-01 03:10:00,2021-12-01 03:10:34,2021-12-01 03:10:00,182.0,0.0,0.1,14.0,11.0,7,0.0,180.0
2021-12-01 03:15:00,2021-12-01 03:15:56,2021-12-01 03:15:00,172.1,0.0,0.1,14.0,12.0,7,0.0,170.0
2021-12-01 03:20:00,2021-12-01 03:21:18,2021-12-01 03:20:00,181.3,0.0,0.1,12.0,10.0,7,0.0,180.0
2021-12-01 03:25:00,2021-12-01 03:26:39,2021-12-01 03:25:00,166.8,0.0,0.1,14.0,11.0,7,0.0,170.0
2021-12-01 03:30:00,2021-12-01 03:32:00,2021-12-01 03:30:00,182.7,0.0,0.1,16.0,13.0,7,0.0,180.0
2021-12-01 03:35:00,2021-12-01 03:37:23,2021-12-01 03:35:00,190.6,130.08,0.1,17.0,14.0,7,130.0,190.0
2021-12-01 03:45:00,2021-12-01 03:42:45,2021-12-01 03:45:00,188.0,91.64,0.1,17.0,13.0,7,90.0,190.0
2021-12-01 03:50:00,2021-12-01 03:48:08,2021-12-01 03:50:00,185.5,54.25,0.1,16.0,11.0,7,50.0,190.0
2021-12-01 03:55:00,2021-12-01 03:53:29,2021-12-01 03:55:00,183.0,0.0,0.1,16.0,14.0,7,0.0,180.0
2021-12-01 04:00:00,2021-12-01 03:58:51,2021-12-01 04:00:00,201.2,196.17,0.1,14.0,13.0,7,200.0,200.0
2021-12-01 04:05:00,2021-12-01 04:04:12,2021-12-01 04:05:00,192.0,131.03,0.1,16.0,14.0,7,130.0,190.0
2021-12-01 04:10:00,2021-12-01 04:09:34,2021-12-01 04:10:00,186.8,127.49,0.1,19.0,16.0,7,130.0,190.0
2021-12-01 04:15:00,2021-12-01 04:14:57,2021-12-01 04:15:00,201.0,195.97,0.1,16.0,13.0,7,200.0,200.0
2021-12-01 04:20:00,2021-12-01 04:20:19,2021-12-01 04:20:00,180.6,0.0,0.1,14.0,11.0,7,0.0,180.0
2021-12-01 04:25:00,2021-12-01 04:25:41,2021-12-01 04:25:00,181.5,0.0,0.1,16.0,13.0,7,0.0,180.0
2021-12-01 04:30:00,2021-12-01 04:31:02,2021-12-01 04:30:00,188.5,128.65,0.1,22.0,17.0,7,130.0,190.0
2021-12-01 04:35:00,2021-12-01 04:36:24,2021-12-01 04:35:00,185.5,36.17,0.1,25.0,19.0,7,40.0,190.0
2021-12-01 04:40:00,2021-12-01 04:41:45,2021-12-01 04:40:00,189.8,129.53,0.1,20.0,17.0,7,130.0,190.0
2021-12-01 04:45:00,2021-12-01 04:47:06,2021-12-01 04:45:00,184.1,35.89,0.1,20.0,16.0,7,40.0,180.0
2021-12-01 04:50:00,2021-12-01 04:52:28,2021-12-01 04:50:00,157.2,0.0,0.2,17.0,15.0,7,0.0,160.0
2021-12-01 05:00:00,2021-12-01 04:57:49,2021-12-01 05:00:00,149.0,0.0,0.2,22.0,16.0,7,0.0,150.0
2021-12-01 05:05:00,2021-12-01 05:03:11,2021-12-01 05:05:00,184.3,89.84,0.2,20.0,17.0,7,90.0,180.0
2021-12-01 05:10:00,2021-12-01 05:08:32,2021-12-01 05:10:00,234.5,365.82,0.2,20.0,17.0,7,370.0,230.0
2021-12-01 05:15:00,2021-12-01 05:13:55,2021-12-01 05:15:00,184.2,35.91,0.2,22.0,19.0,7,40.0,180.0
2021-12-01 05:20:00,2021-12-01 05:22:10,2021-12-01 05:20:00,196.7,191.78,0.2,24.0,20.0,7,190.0,200.0
2021-12-01 05:30:00,2021-12-01 05:27:31,2021-12-01 05:30:00,190.5,130.01,0.2,20.0,18.0,7,130.0,190.0
2021-12-01 05:35:00,2021-12-01 05:32:52,2021-12-01 05:35:00,198.7,193.73,0.2,17.0,14.0,7,190.0,200.0
