,Time,Timestamp,DC Voltage PV1(V),AC Output Total Power (Active)(W),Daily Generation (Active)(kWh),Wind Speed ( MPH ),Wind Average ( MPH ),Curve_Iteration,Power_round,Voltage_round
2021-11-16 00:00:00,2021-11-15 23:58:46,2021-11-16 00:00:00,0.6,0.0,0.6,6.0,6.0,2,0.0,0.0
2021-11-16 00:05:00,2021-11-16 00:04:10,2021-11-16 00:05:00,0.5,0.0,0.0,6.0,6.0,2,0.0,0.0
2021-11-16 00:10:00,2021-11-16 00:09:31,2021-11-16 00:10:00,0.5,0.0,0.0,6.0,6.0,2,0.0,0.0
2021-11-16 00:15:00,2021-11-16 00:14:52,2021-11-16 00:15:00,0.5,0.0,0.0,8.0,6.0,2,0.0,0.0
2021-11-16 00:20:00,2021-11-16 00:20:13,2021-11-16 00:20:00,0.5,0.0,0.0,8.0,7.0,2,0.0,0.0
2021-11-16 00:25:00,2021-11-16 00:25:34,2021-11-16 00:25:00,0.5,0.0,0.0,8.0,8.0,2,0.0,0.0
2021-11-16 00:30:00,2021-11-16 00:30:56,2021-11-16 00:30:00,0.5,0.0,0.0,8.0,6.0,2,0.0,0.0
2021-11-16 00:35:00,2021-11-16 00:36:20,2021-11-16 00:35:00,0.5,0.0,0.0,8.0,6.0,2,0.0,0.0
2021-11-16 00:40:00,2021-11-16 00:41:40,2021-11-16 00:40:00,0.5,0.0,0.0,8.0,7.0,2,0.0,0.0
2021-11-16 00:45:00,2021-11-16 00:47:01,2021-11-16 00:45:00,0.5,0.0,0.0,6.0,6.0,2,0.0,0.0
2021-11-16 00:50:00,2021-11-16 00:52:22,2021-11-16 00:50:00,0.5,0.0,0.0,6.0,6.0,2,0.0,0.0
2021-11-16 01:00:00,2021-11-16 00:57:44,2021-11-16 01:00:00,0.5,0.0,0.0,8.0,8.0,2,0.0,0.0
2021-11-16 01:05:00,2021-11-16 01:03:06,2021-11-16 01:05:00,0.5,0.0,0.0,8.0,8.0,2,0.0,0.0
2021-11-16 01:10:00,2021-11-16 01:08:28,2021-11-16 01:10:00,0.5,0.0,0.0,9.0,8.0,2,0.0,0.0
2021-11-16 01:15:00,2021-11-16 01:13:50,2021-11-16 01:15:00,0.6,0.0,0.0,8.0,8.0,2,0.0,0.0
2021-11-16 01:20:00,2021-11-16 01:19:11,2021-11-16 01:20:00,0.5,0.0,0.0,8.0,8.0,2,0.0,0.0
2021-11-16 01:25:00,2021-11-16 01:24:32,2021-11-16 01:25:00,0.5,0.0,0.0,8.0,6.0,2,0.0,0.0
2021-11-16 01:30:00,2021-11-16 01:29:53,2021-11-16 01:30:00,0.5,0.0,0.0,6.0,5.0,2,0.0,0.0
2021-11-16 01:35:00,2021-11-16 01:35:15,2021-11-16 01:35:00,0.5,0.0,0.0,6.0,4.0,2,0.0,0.0
2021-11-16 01:40:00,2021-11-16 01:40:36,2021-11-16 01:40:00,0.6,0.0,0.0,6.0,5.0,2,0.0,0.0
2021-11-16 01:45:00,2021-11-16 01:45:57,2021-11-16 01:45:00,0.5,0.0,0.0,4.0,3.0,2,0.0,0.0
2021-11-16 01:50:00,2021-11-16 01:51:18,2021-11-16 01:50:00,0.5,0.0,0.0,4.0,3.0,2,0.0,0.0
2021-11-16 01:55:00,2021-11-16 01:56:39,2021-11-16 01:55:00,0.5,0.0,0.0,4.0,3.0,2,0.0,0.0
2021-11-16 02:00:00,2021-11-16 02:02:00,2021-11-16 02:00:00,0.5,0.0,0.0,4.0,3.0,2,0.0,0.0
2021-11-16 02:05:00,2021-11-16 02:07:21,2021-11-16 02:05:00,0.5,0.0,0.0,6.0,4.0,2,0.0,0.0
2021-11-16 02:15:00,2021-11-16 02:12:42,2021-11-16 02:15:00,0.5,0.0,0.0,6.0,6.0,2,0.0,0.0
2021-11-16 02:20:00,2021-11-16 02:18:03,2021-11-16 02:20:00,0.5,0.0,0.0,9.0,7.0,2,0.0,0.0
2021-11-16 02:25:00,2021-11-16 02:23:24,2021-11-16 02:25:00,0.5,0.0,0.0,9.0,9.0,2,0.0,0.0
2021-11-16 02:35:00,2021-11-16 02:34:05,2021-11-16 02:35:00,0.5,0.0,0.0,9.0,8.0,2,0.0,0.0
2021-11-16 02:40:00,2021-11-16 02:39:26,2021-11-16 02:40:00,0.5,0.0,0.0,9.0,8.0,2,0.0,0.0
2021-11-16 02:50:00,2021-11-16 02:50:10,2021-11-16 02:50:00,0.5,0.0,0.0,9.0,8.0,2,0.0,0.0
2021-11-16 03:00:00,2021-11-16 03:00:52,2021-11-16 03:00:00,0.5,0.0,0.0,9.0,8.0,2,0.0,0.0
2021-11-16 03:05:00,2021-11-16 03:06:13,2021-11-16 03:05:00,0.5,0.0,0.0,9.0,8.0,2,0.0,0.0
2021-11-16 03:10:00,2021-11-16 03:11:34,2021-11-16 03:10:00,0.5,0.0,0.0,8.0,7.0,2,0.0,0.0
2021-11-16 03:15:00,2021-11-16 03:16:55,2021-11-16 03:15:00,0.5,0.0,0.0,8.0,6.0,2,0.0,0.0
2021-11-16 03:20:00,2021-11-16 03:22:16,2021-11-16 03:20:00,0.5,0.0,0.0,9.0,8.0,2,0.0,0.0
2021-11-16 03:30:00,2021-11-16 03:27:37,2021-11-16 03:30:00,0.5,0.0,0.0,9.0,8.0,2,0.0,0.0
2021-11-16 03:35:00,2021-11-16 03:32:58,2021-11-16 03:35:00,0.5,0.0,0.0,8.0,6.0,2,0.0,0.0
2021-11-16 03:40:00,2021-11-16 03:38:19,2021-11-16 03:40:00,0.5,0.0,0.0,8.0,8.0,2,0.0,0.0
2021-11-16 03:45:00,2021-11-16 03:43:41,2021-11-16 03:45:00,0.5,0.0,0.0,8.0,7.0,2,0.0,0.0
