,Time,Timestamp,DC Voltage PV1(V),AC Output Total Power (Active)(W),Daily Generation (Active)(kWh),Wind Speed ( MPH ),Wind Average ( MPH ),Week_label,Power_round,Voltage_round,Curve_Iteration
11/23/2021 0:00,11/23/2021 0:02,11/23/2021 0:00,0.5,0,0,9,8,6,0,0,2
11/23/2021 0:05,11/23/2021 0:07,11/23/2021 0:05,0.2,0,0,11,9,6,0,0,2
11/23/2021 0:15,11/23/2021 0:12,11/23/2021 0:15,1.2,0,0,12,11,6,0,0,2
11/23/2021 0:20,11/23/2021 0:18,11/23/2021 0:20,0.5,0,0,11,10,6,0,0,2
11/23/2021 0:25,11/23/2021 0:23,11/23/2021 0:25,0.3,0,0,11,10,6,0,0,2
11/23/2021 0:30,11/23/2021 0:28,11/23/2021 0:30,0.5,0,0,11,9,6,0,0,2
11/23/2021 0:35,11/23/2021 0:34,11/23/2021 0:35,0.2,0,0,11,9,6,0,0,2
11/23/2021 0:40,11/23/2021 0:39,11/23/2021 0:40,0.6,0,0,11,9,6,0,0,2
11/23/2021 0:45,11/23/2021 0:44,11/23/2021 0:45,0.3,0,0,9,7,6,0,0,2
11/23/2021 0:50,11/23/2021 0:50,11/23/2021 0:50,0.1,0,0,8,6,6,0,0,2
11/23/2021 0:55,11/23/2021 0:55,11/23/2021 0:55,0,0,0,8,7,6,0,0,2
11/23/2021 1:00,11/23/2021 1:00,11/23/2021 1:00,0.2,0,0,8,7,6,0,0,2
11/23/2021 1:05,11/23/2021 1:06,11/23/2021 1:05,0.1,0,0,8,7,6,0,0,2
11/23/2021 1:10,11/23/2021 1:11,11/23/2021 1:10,0.1,0,0,8,6,6,0,0,2
11/23/2021 1:15,11/23/2021 1:16,11/23/2021 1:15,0.1,0,0,8,7,6,0,0,2
11/23/2021 1:20,11/23/2021 1:22,11/23/2021 1:20,0.1,0,0,9,8,6,0,0,2
11/23/2021 1:30,11/23/2021 1:27,11/23/2021 1:30,0.1,0,0,8,7,6,0,0,2
11/23/2021 1:35,11/23/2021 1:32,11/23/2021 1:35,0.1,0,0,9,7,6,0,0,2
11/23/2021 1:40,11/23/2021 1:38,11/23/2021 1:40,0.1,0,0,8,7,6,0,0,2
11/23/2021 1:45,11/23/2021 1:43,11/23/2021 1:45,0.1,0,0,8,6,6,0,0,2
11/23/2021 1:50,11/23/2021 1:49,11/23/2021 1:50,0.1,0,0,6,5,6,0,0,2
11/23/2021 1:55,11/23/2021 1:54,11/23/2021 1:55,0.1,0,0,9,6,6,0,0,2
11/23/2021 2:00,11/23/2021 1:59,11/23/2021 2:00,0.1,0,0,8,6,6,0,0,2
11/23/2021 2:05,11/23/2021 2:05,11/23/2021 2:05,0.1,0,0,8,6,6,0,0,2
11/23/2021 2:10,11/23/2021 2:10,11/23/2021 2:10,0.1,0,0,8,5,6,0,0,2
11/23/2021 2:15,11/23/2021 2:15,11/23/2021 2:15,0.1,0,0,6,4,6,0,0,2
11/23/2021 2:20,11/23/2021 2:21,11/23/2021 2:20,0,0,0,6,5,6,0,0,2
11/23/2021 2:25,11/23/2021 2:26,11/23/2021 2:25,0.1,0,0,6,6,6,0,0,2
11/23/2021 2:30,11/23/2021 2:31,11/23/2021 2:30,0.1,0,0,8,6,6,0,0,2
11/23/2021 2:35,11/23/2021 2:37,11/23/2021 2:35,0.2,0,0,9,8,6,0,0,2
11/23/2021 2:40,11/23/2021 2:42,11/23/2021 2:40,0.2,0,0,11,9,6,0,0,2
11/23/2021 2:50,11/23/2021 2:47,11/23/2021 2:50,0.2,0,0,12,10,6,0,0,2
