,Time,Timestamp,DC Voltage PV1(V),AC Output Total Power (Active)(W),Daily Generation (Active)(kWh),Wind Speed ( MPH ),Wind Average ( MPH ),Week_label,Power_round,Voltage_round
2021-11-30 00:00:00,2021-11-29 23:58:30,2021-11-30 00:00:00,190.2,129.81,5.0,28.0,23.0,7,130.0,190.0
2021-11-30 00:05:00,2021-11-30 00:03:51,2021-11-30 00:05:00,250.7,513.3,0.3,30.0,23.0,7,510.0,250.0
2021-11-30 00:10:00,2021-11-30 00:09:13,2021-11-30 00:10:00,188.0,128.31,0.3,30.0,23.0,7,130.0,190.0
2021-11-30 00:15:00,2021-11-30 00:14:35,2021-11-30 00:15:00,182.3,0.0,0.3,28.0,19.0,7,0.0,180.0
2021-11-30 00:20:00,2021-11-30 00:19:55,2021-11-30 00:20:00,181.0,0.0,0.3,28.0,21.0,7,0.0,180.0
2021-11-30 00:25:00,2021-11-30 00:25:16,2021-11-30 00:25:00,182.0,53.23,0.3,28.0,20.0,7,50.0,180.0
2021-11-30 00:30:00,2021-11-30 00:30:38,2021-11-30 00:30:00,161.3,0.0,0.3,20.0,17.0,7,0.0,160.0
2021-11-30 00:35:00,2021-11-30 00:35:59,2021-11-30 00:35:00,182.0,0.0,0.3,25.0,17.0,7,0.0,180.0
2021-11-30 00:40:00,2021-11-30 00:41:21,2021-11-30 00:40:00,227.7,333.01,0.3,27.0,20.0,7,330.0,230.0
2021-11-30 00:45:00,2021-11-30 00:46:42,2021-11-30 00:45:00,182.0,0.0,0.3,28.0,17.0,7,0.0,180.0
2021-11-30 00:50:00,2021-11-30 00:52:02,2021-11-30 00:50:00,185.6,90.47,0.3,25.0,18.0,7,90.0,190.0
2021-11-30 00:55:00,2021-11-30 00:57:24,2021-11-30 00:55:00,186.8,91.06,0.3,25.0,17.0,7,90.0,190.0
2021-11-30 01:05:00,2021-11-30 01:02:46,2021-11-30 01:05:00,162.0,0.0,0.3,24.0,13.0,7,0.0,160.0
2021-11-30 01:10:00,2021-11-30 01:08:08,2021-11-30 01:10:00,59.1,0.0,0.4,19.0,13.0,7,0.0,60.0
2021-11-30 01:15:00,2021-11-30 01:13:29,2021-11-30 01:15:00,159.2,0.0,0.4,27.0,17.0,7,0.0,160.0
