,Time,Timestamp,DC Voltage PV1(V),AC Output Total Power (Active)(W),Daily Generation (Active)(kWh),Wind Speed ( MPH ),Wind Average ( MPH ),Curve_Iteration
11/8/2021 0:15,11/8/2021 0:13,11/8/2021 0:15,233.7,341.78,0.7,22,22,2
11/8/2021 0:20,11/8/2021 0:18,11/8/2021 0:20,247.6,482.82,0.8,28,28,2
11/8/2021 0:25,11/8/2021 0:23,11/8/2021 0:25,297.5,1073.23,0.8,28,23,2
11/8/2021 0:30,11/8/2021 0:29,11/8/2021 0:30,204.2,199.09,0.8,24,20,2
11/8/2021 0:35,11/8/2021 0:34,11/8/2021 0:35,198.1,193.14,0.8,30,22,2
11/8/2021 0:40,11/8/2021 0:40,11/8/2021 0:40,244.3,476.38,0.9,27,22,2
11/8/2021 0:45,11/8/2021 0:45,11/8/2021 0:45,210.6,246.4,0.9,25,21,2
11/8/2021 0:50,11/8/2021 0:50,11/8/2021 0:50,249.6,486.71,0.9,25,21,2
11/8/2021 0:55,11/8/2021 0:56,11/8/2021 0:55,219.3,256.58,0.9,24,18,2
11/8/2021 1:00,11/8/2021 1:01,11/8/2021 1:00,202.7,197.63,1,27,20,2
11/8/2021 1:05,11/8/2021 1:06,11/8/2021 1:05,245.5,478.72,1,24,21,2
11/8/2021 1:10,11/8/2021 1:12,11/8/2021 1:10,271.5,688.25,1,28,25,2
11/8/2021 1:20,11/8/2021 1:17,11/8/2021 1:20,268.1,653.49,1.1,33,22,2
11/8/2021 1:25,11/8/2021 1:23,11/8/2021 1:25,238.2,371.59,1.1,28,24,2
11/8/2021 1:30,11/8/2021 1:28,11/8/2021 1:30,231.8,339,1.1,32,25,2
11/8/2021 1:35,11/8/2021 1:33,11/8/2021 1:35,250,487.5,1.2,28,24,2
11/8/2021 1:40,11/8/2021 1:39,11/8/2021 1:40,195.6,152.56,1.2,28,25,2
11/8/2021 1:45,11/8/2021 1:44,11/8/2021 1:45,286.6,838.3,1.2,30,23,2
11/8/2021 1:50,11/8/2021 1:49,11/8/2021 1:50,247.1,481.84,1.3,30,23,2
11/8/2021 1:55,11/8/2021 1:55,11/8/2021 1:55,215.5,252.13,1.3,27,24,2
11/8/2021 2:00,11/8/2021 2:00,11/8/2021 2:00,276.7,809.34,1.3,33,24,2
11/8/2021 2:05,11/8/2021 2:06,11/8/2021 2:05,194.5,151.71,1.4,30,24,2
11/8/2021 2:10,11/8/2021 2:11,11/8/2021 2:10,198.8,193.83,1.4,27,24,2
11/8/2021 2:15,11/8/2021 2:16,11/8/2021 2:15,232.5,340.03,1.4,28,24,2
11/8/2021 2:30,11/8/2021 2:27,11/8/2021 2:30,182.8,35.64,1.5,28,24,2
11/8/2021 2:40,11/8/2021 2:38,11/8/2021 2:40,188.7,91.99,1.6,28,25,2
11/8/2021 2:45,11/8/2021 2:43,11/8/2021 2:45,189.8,129.53,1.6,28,24,2
11/8/2021 3:05,11/8/2021 3:05,11/8/2021 3:05,229,334.91,1.8,33,25,2
11/8/2021 3:10,11/8/2021 3:10,11/8/2021 3:10,260.8,635.69,1.8,30,24,2
11/8/2021 3:15,11/8/2021 3:16,11/8/2021 3:15,190,129.67,1.8,32,24,2
11/8/2021 3:20,11/8/2021 3:21,11/8/2021 3:20,247,481.65,1.9,27,22,2
11/8/2021 3:25,11/8/2021 3:26,11/8/2021 3:25,246,479.7,1.9,30,24,2
11/8/2021 3:30,11/8/2021 3:32,11/8/2021 3:30,200.3,195.29,2,28,24,2
11/8/2021 3:40,11/8/2021 3:37,11/8/2021 3:40,215.7,252.36,2,30,23,2
11/8/2021 3:45,11/8/2021 3:42,11/8/2021 3:45,206.5,221.47,2,27,24,2
11/8/2021 3:55,11/8/2021 3:53,11/8/2021 3:55,219.5,256.81,2.1,25,22,2
11/8/2021 4:00,11/8/2021 3:59,11/8/2021 4:00,258,553.41,2.1,27,23,2
11/8/2021 4:05,11/8/2021 4:04,11/8/2021 4:05,255.3,547.61,2.2,28,23,2
11/8/2021 4:15,11/8/2021 4:15,11/8/2021 4:15,289,901.68,2.2,28,24,2
11/8/2021 4:25,11/8/2021 4:26,11/8/2021 4:25,207.3,222.32,2.3,25,23,2
11/8/2021 4:30,11/8/2021 4:31,11/8/2021 4:30,216.5,253.3,2.3,28,23,2
11/8/2021 4:35,11/8/2021 4:36,11/8/2021 4:35,236.2,391.5,2.4,25,21,2
11/8/2021 4:50,11/8/2021 4:47,11/8/2021 4:50,236.2,391.5,2.4,27,23,2
11/8/2021 5:00,11/8/2021 4:58,11/8/2021 5:00,205.1,139.98,2.5,25,21,2
11/8/2021 5:05,11/8/2021 5:03,11/8/2021 5:05,249.2,485.93,2.5,27,21,2
11/8/2021 5:10,11/8/2021 5:09,11/8/2021 5:10,198.8,193.83,2.5,25,22,2
11/8/2021 5:25,11/8/2021 5:25,11/8/2021 5:25,223.5,326.86,2.6,27,21,2
11/8/2021 5:35,11/8/2021 5:35,11/8/2021 5:35,199.1,194.12,2.6,25,21,2
11/8/2021 5:40,11/8/2021 5:41,11/8/2021 5:40,226.7,331.54,2.7,25,21,2
11/8/2021 5:45,11/8/2021 5:46,11/8/2021 5:45,185.2,90.28,2.7,25,20,2
11/8/2021 5:50,11/8/2021 5:52,11/8/2021 5:50,238.1,394.65,2.7,24,21,2
11/8/2021 5:55,11/8/2021 5:57,11/8/2021 5:55,231.1,337.98,2.7,25,19,2
11/8/2021 6:05,11/8/2021 6:02,11/8/2021 6:05,193.5,132.06,2.7,22,19,2
11/8/2021 6:10,11/8/2021 6:08,11/8/2021 6:10,197.1,192.17,2.8,22,19,2
11/8/2021 6:15,11/8/2021 6:13,11/8/2021 6:15,224.7,328.62,2.8,24,20,2
11/8/2021 6:20,11/8/2021 6:18,11/8/2021 6:20,266.2,648.86,2.8,24,20,2
11/8/2021 6:25,11/8/2021 6:23,11/8/2021 6:25,223.5,283.28,2.8,22,19,2
11/8/2021 6:30,11/8/2021 6:28,11/8/2021 6:30,238,394.48,2.8,24,20,2
11/8/2021 6:35,11/8/2021 6:33,11/8/2021 6:35,185.3,90.33,2.9,24,18,2
11/8/2021 7:05,11/8/2021 7:06,11/8/2021 7:05,187.7,91.5,2.9,16,16,2
11/8/2021 7:10,11/8/2021 7:11,11/8/2021 7:10,186.7,91.01,2.9,19,16,2
11/8/2021 7:15,11/8/2021 7:16,11/8/2021 7:15,189.1,129.06,2.9,22,18,2
11/8/2021 7:20,11/8/2021 7:22,11/8/2021 7:20,165.2,0,2.9,19,19,2
11/8/2021 7:45,11/8/2021 7:43,11/8/2021 7:45,179.2,0,3,17,17,2
11/8/2021 7:50,11/8/2021 7:49,11/8/2021 7:50,232.5,340.03,3,14,14,2
11/8/2021 7:55,11/8/2021 7:54,11/8/2021 7:55,232.7,363.01,3,20,17,2
11/8/2021 8:00,11/8/2021 7:59,11/8/2021 8:00,199.5,194.51,3,17,15,2
11/8/2021 8:05,11/8/2021 8:05,11/8/2021 8:05,216.3,253.07,3,16,13,2
11/8/2021 8:10,11/8/2021 8:10,11/8/2021 8:10,198.7,193.73,3.1,16,13,2
11/8/2021 8:15,11/8/2021 8:16,11/8/2021 8:15,188.2,128.44,3.1,17,14,2
11/8/2021 8:20,11/8/2021 8:21,11/8/2021 8:20,180.8,0,3.1,20,18,2
11/8/2021 8:25,11/8/2021 8:26,11/8/2021 8:25,188,128.31,3.1,24,20,2
11/8/2021 8:30,11/8/2021 8:32,11/8/2021 8:30,189.6,129.4,3.1,16,15,2
11/8/2021 8:40,11/8/2021 8:37,11/8/2021 8:40,238.6,395.47,3.1,16,16,2
11/8/2021 8:45,11/8/2021 8:43,11/8/2021 8:45,225.6,329.94,3.1,17,13,2
11/8/2021 8:50,11/8/2021 8:48,11/8/2021 8:50,186.1,90.72,3.2,16,14,2
11/8/2021 8:55,11/8/2021 8:53,11/8/2021 8:55,196,191.1,3.2,19,14,2
11/8/2021 9:00,11/8/2021 8:59,11/8/2021 9:00,203.3,198.21,3.2,16,13,2
11/8/2021 9:05,11/8/2021 9:04,11/8/2021 9:05,186.1,36.28,3.2,19,15,2
11/8/2021 9:10,11/8/2021 9:09,11/8/2021 9:10,195.1,133.15,3.2,16,12,2
11/8/2021 9:15,11/8/2021 9:15,11/8/2021 9:15,185.6,90.47,3.2,22,16,2
11/8/2021 9:20,11/8/2021 9:20,11/8/2021 9:20,187.3,91.3,3.2,19,16,2
11/8/2021 9:25,11/8/2021 9:26,11/8/2021 9:25,187.6,54.87,3.2,19,14,2
11/8/2021 9:30,11/8/2021 9:31,11/8/2021 9:30,249.8,487.11,3.2,17,13,2
11/8/2021 9:35,11/8/2021 9:36,11/8/2021 9:35,185.6,108.57,3.2,20,14,2
11/8/2021 9:40,11/8/2021 9:42,11/8/2021 9:40,131.3,0,3.3,17,12,2
11/8/2021 9:50,11/8/2021 9:47,11/8/2021 9:50,234.7,366.13,3.3,20,15,2
11/8/2021 9:55,11/8/2021 9:53,11/8/2021 9:55,228.5,334.18,3.3,16,10,2
11/8/2021 10:00,11/8/2021 9:58,11/8/2021 10:00,185.3,90.33,3.3,16,13,2
11/8/2021 10:05,11/8/2021 10:03,11/8/2021 10:05,182.7,35.62,3.3,12,11,2
11/8/2021 10:10,11/8/2021 10:09,11/8/2021 10:10,184,35.88,3.3,12,9,2
11/8/2021 10:15,11/8/2021 10:14,11/8/2021 10:15,170,0,3.3,11,8,2
11/8/2021 10:20,11/8/2021 10:19,11/8/2021 10:20,154.5,0,3.3,12,10,2
11/8/2021 10:25,11/8/2021 10:25,11/8/2021 10:25,132.7,0,3.3,11,9,2
11/8/2021 10:30,11/8/2021 10:30,11/8/2021 10:30,156.2,0,3.3,11,7,2
11/8/2021 10:35,11/8/2021 10:36,11/8/2021 10:35,129.8,0,3.3,11,7,2
11/8/2021 10:40,11/8/2021 10:41,11/8/2021 10:40,111.2,0,3.3,11,7,2
11/8/2021 10:45,11/8/2021 10:46,11/8/2021 10:45,56.6,0,3.3,8,6,2
11/8/2021 10:50,11/8/2021 10:52,11/8/2021 10:50,43.3,0,3.3,9,6,2
11/8/2021 11:00,11/8/2021 10:57,11/8/2021 11:00,123.1,0,3.3,9,6,2
11/8/2021 11:05,11/8/2021 11:02,11/8/2021 11:05,60.5,0,3.3,8,5,2
11/8/2021 11:10,11/8/2021 11:08,11/8/2021 11:10,57,0,3.3,11,7,2
11/8/2021 11:15,11/8/2021 11:13,11/8/2021 11:15,89.6,0,3.3,9,7,2
11/8/2021 11:20,11/8/2021 11:19,11/8/2021 11:20,134.5,0,3.3,8,5,2
11/8/2021 11:25,11/8/2021 11:24,11/8/2021 11:25,92.1,0,3.3,9,5,2
11/8/2021 11:30,11/8/2021 11:29,11/8/2021 11:30,111.7,0,3.3,9,4,2
11/8/2021 11:35,11/8/2021 11:35,11/8/2021 11:35,36.3,0,3.3,9,6,2
11/8/2021 11:40,11/8/2021 11:40,11/8/2021 11:40,176.3,0,3.3,11,7,2
11/8/2021 11:45,11/8/2021 11:46,11/8/2021 11:45,145.1,0,3.3,11,9,2
11/8/2021 11:50,11/8/2021 11:51,11/8/2021 11:50,50,0,3.3,12,9,2
11/8/2021 11:55,11/8/2021 11:56,11/8/2021 11:55,71.6,0,3.3,12,7,2
11/8/2021 12:00,11/8/2021 12:02,11/8/2021 12:00,185.3,90.33,3.3,12,9,2
11/8/2021 12:10,11/8/2021 12:07,11/8/2021 12:10,182.2,0,3.3,14,10,2
11/8/2021 12:15,11/8/2021 12:12,11/8/2021 12:15,181.3,0,3.3,12,10,2
11/8/2021 12:20,11/8/2021 12:18,11/8/2021 12:20,188,109.97,3.3,11,8,2
11/8/2021 12:25,11/8/2021 12:23,11/8/2021 12:25,103.2,0,3.3,12,9,2
11/8/2021 12:30,11/8/2021 12:29,11/8/2021 12:30,181.5,0,3.3,11,8,2
11/8/2021 12:35,11/8/2021 12:34,11/8/2021 12:35,159.6,0,3.3,11,8,2
11/8/2021 12:40,11/8/2021 12:39,11/8/2021 12:40,73.2,0,3.3,14,9,2
11/8/2021 12:45,11/8/2021 12:45,11/8/2021 12:45,185.3,36.13,3.3,16,8,2
11/8/2021 12:50,11/8/2021 12:50,11/8/2021 12:50,181.5,0,3.3,12,8,2
11/8/2021 12:55,11/8/2021 12:55,11/8/2021 12:55,98.1,0,3.3,12,9,2
11/8/2021 13:00,11/8/2021 13:01,11/8/2021 13:00,144.3,0,3.3,12,9,2
11/8/2021 13:05,11/8/2021 13:06,11/8/2021 13:05,89.7,0,3.3,12,9,2
11/8/2021 13:10,11/8/2021 13:12,11/8/2021 13:10,101.5,0,3.3,16,9,2
11/8/2021 13:15,11/8/2021 13:17,11/8/2021 13:15,183.2,0,3.3,11,9,2
11/8/2021 13:25,11/8/2021 13:22,11/8/2021 13:25,180.6,0,3.3,16,10,2
11/8/2021 13:35,11/8/2021 13:33,11/8/2021 13:35,185,36.07,3.3,9,8,2
11/8/2021 13:40,11/8/2021 13:38,11/8/2021 13:40,146,0,3.3,14,11,2
11/8/2021 13:45,11/8/2021 13:44,11/8/2021 13:45,178.6,0,3.3,12,10,2
11/8/2021 13:55,11/8/2021 13:55,11/8/2021 13:55,165,0,3.3,12,8,2
11/8/2021 14:00,11/8/2021 14:00,11/8/2021 14:00,45.5,0,3.3,11,9,2
11/8/2021 14:05,11/8/2021 14:05,11/8/2021 14:05,185.2,90.28,3.3,12,9,2
11/8/2021 14:10,11/8/2021 14:11,11/8/2021 14:10,128.7,0,3.3,12,10,2
11/8/2021 14:15,11/8/2021 14:16,11/8/2021 14:15,186.2,90.77,3.3,14,10,2
11/8/2021 14:20,11/8/2021 14:22,11/8/2021 14:20,184.3,35.93,3.3,14,11,2
11/8/2021 14:25,11/8/2021 14:27,11/8/2021 14:25,112,0,3.3,9,7,2
