,Time,Timestamp,DC Voltage PV1(V),AC Output Total Power (Active)(W),Daily Generation (Active)(kWh),Wind Speed ( MPH ),Wind Average ( MPH )
2021-11-01 00:00:00,2021-11-01 00:00:51,2021-11-01 00:00:00,183.7,35.82,0.1,16,14
2021-11-01 00:05:00,2021-11-01 00:06:12,2021-11-01 00:05:00,186.5,90.91,0.1,17,14
2021-11-01 00:10:00,2021-11-01 00:11:34,2021-11-01 00:10:00,140.5,0,0.1,22,16
2021-11-01 00:15:00,2021-11-01 00:16:56,2021-11-01 00:15:00,186.1,90.72,0.1,19,14
2021-11-01 00:20:00,2021-11-01 00:22:18,2021-11-01 00:20:00,150.5,0,0.1,17,13
2021-11-01 00:30:00,2021-11-01 00:27:40,2021-11-01 00:30:00,183.7,35.82,0.1,16,13
2021-11-01 00:35:00,2021-11-01 00:33:01,2021-11-01 00:35:00,164.5,0,0.1,16,14
2021-11-01 00:40:00,2021-11-01 00:38:21,2021-11-01 00:40:00,182.3,0,0.1,16,14
2021-11-01 00:45:00,2021-11-01 00:43:43,2021-11-01 00:45:00,183.7,35.82,0.1,17,15
2021-11-01 00:50:00,2021-11-01 00:49:05,2021-11-01 00:50:00,186,36.27,0.1,17,14
2021-11-01 00:55:00,2021-11-01 00:54:27,2021-11-01 00:55:00,188,91.64,0.1,16,13
2021-11-01 01:00:00,2021-11-01 00:59:48,2021-11-01 01:00:00,155,0,0.1,20,15
2021-11-01 01:05:00,2021-11-01 01:05:09,2021-11-01 01:05:00,184.6,89.99,0.1,19,14
2021-11-01 01:10:00,2021-11-01 01:10:30,2021-11-01 01:10:00,190.3,129.87,0.1,19,15
2021-11-01 01:15:00,2021-11-01 01:15:52,2021-11-01 01:15:00,180.5,0,0.1,17,12
2021-11-01 01:20:00,2021-11-01 01:21:15,2021-11-01 01:20:00,151,0,0.1,16,12
2021-11-01 01:25:00,2021-11-01 01:26:36,2021-11-01 01:25:00,175,0,0.1,16,12
2021-11-01 01:30:00,2021-11-01 01:31:57,2021-11-01 01:30:00,182.1,0,0.1,16,12
2021-11-01 01:35:00,2021-11-01 01:37:18,2021-11-01 01:35:00,169.1,0,0.1,14,11
2021-11-01 01:45:00,2021-11-01 01:42:40,2021-11-01 01:45:00,133.6,0,0.1,16,11
2021-11-01 01:50:00,2021-11-01 01:48:01,2021-11-01 01:50:00,184.5,89.94,0.1,12,10
2021-11-01 01:55:00,2021-11-01 01:53:23,2021-11-01 01:55:00,142.2,0,0.1,12,11
2021-11-01 02:00:00,2021-11-01 01:58:44,2021-11-01 02:00:00,161.6,0,0.1,14,11
2021-11-01 02:05:00,2021-11-01 02:04:05,2021-11-01 02:05:00,149,0,0.1,12,11
2021-11-01 02:10:00,2021-11-01 02:09:27,2021-11-01 02:10:00,141.3,0,0.1,14,11
2021-11-01 02:15:00,2021-11-01 02:14:49,2021-11-01 02:15:00,127,0,0.1,14,12
2021-11-01 02:20:00,2021-11-01 02:20:11,2021-11-01 02:20:00,146.6,0,0.1,14,11
2021-11-01 02:25:00,2021-11-01 02:25:32,2021-11-01 02:25:00,175.1,0,0.1,14,13
2021-11-01 02:30:00,2021-11-01 02:30:53,2021-11-01 02:30:00,184,0,0.1,16,13
2021-11-01 02:35:00,2021-11-01 02:36:19,2021-11-01 02:35:00,123.6,0,0.1,16,12
2021-11-01 02:40:00,2021-11-01 02:41:40,2021-11-01 02:40:00,161.1,0,0.1,17,13
2021-11-01 02:45:00,2021-11-01 02:47:02,2021-11-01 02:45:00,123.7,0,0.1,16,13
2021-11-01 02:50:00,2021-11-01 02:52:23,2021-11-01 02:50:00,188.7,91.99,0.1,19,14
2021-11-01 03:00:00,2021-11-01 02:57:43,2021-11-01 03:00:00,150.1,0,0.1,17,13
2021-11-01 03:05:00,2021-11-01 03:03:05,2021-11-01 03:05:00,182.1,0,0.1,16,13
2021-11-01 03:10:00,2021-11-01 03:08:27,2021-11-01 03:10:00,172.6,0,0.1,16,12
2021-11-01 03:15:00,2021-11-01 03:13:49,2021-11-01 03:15:00,184.1,17.94,0.1,16,12
2021-11-01 03:20:00,2021-11-01 03:19:11,2021-11-01 03:20:00,177.2,0,0.1,16,12
2021-11-01 03:25:00,2021-11-01 03:24:32,2021-11-01 03:25:00,183.3,0,0.1,16,12
2021-11-01 03:30:00,2021-11-01 03:29:53,2021-11-01 03:30:00,181.1,0,0.1,14,12
2021-11-01 03:35:00,2021-11-01 03:35:14,2021-11-01 03:35:00,184.1,35.89,0.1,14,12
2021-11-01 03:40:00,2021-11-01 03:40:36,2021-11-01 03:40:00,187.2,109.51,0.1,16,13
2021-11-01 03:45:00,2021-11-01 03:45:59,2021-11-01 03:45:00,183.2,35.72,0.1,16,14
2021-11-01 03:50:00,2021-11-01 03:51:20,2021-11-01 03:50:00,183.8,0,0.1,17,14
2021-11-01 03:55:00,2021-11-01 03:56:41,2021-11-01 03:55:00,167.5,0,0.1,19,16
2021-11-01 04:00:00,2021-11-01 04:02:03,2021-11-01 04:00:00,184.2,35.91,0.1,17,14
2021-11-01 04:05:00,2021-11-01 04:07:25,2021-11-01 04:05:00,139.3,0,0.1,22,16
2021-11-01 04:15:00,2021-11-01 04:12:46,2021-11-01 04:15:00,182.5,0,0.2,19,16
2021-11-01 04:20:00,2021-11-01 04:18:07,2021-11-01 04:20:00,188.3,128.51,0.2,19,16
2021-11-01 04:25:00,2021-11-01 04:23:28,2021-11-01 04:25:00,172.7,0,0.2,19,16
2021-11-01 04:30:00,2021-11-01 04:28:49,2021-11-01 04:30:00,180.5,0,0.2,17,13
2021-11-01 04:35:00,2021-11-01 04:34:11,2021-11-01 04:35:00,181.2,0,0.2,19,14
2021-11-01 04:40:00,2021-11-01 04:39:33,2021-11-01 04:40:00,167.1,0,0.2,19,15
2021-11-01 04:45:00,2021-11-01 04:44:55,2021-11-01 04:45:00,187.2,91.25,0.2,17,15
2021-11-01 04:50:00,2021-11-01 04:50:15,2021-11-01 04:50:00,219.5,256.81,0.2,17,14
2021-11-01 04:55:00,2021-11-01 04:55:36,2021-11-01 04:55:00,142.6,0,0.2,19,14
2021-11-01 05:00:00,2021-11-01 05:00:58,2021-11-01 05:00:00,182.7,0,0.2,17,14
2021-11-01 05:05:00,2021-11-01 05:06:20,2021-11-01 05:05:00,183.2,0,0.2,19,15
2021-11-01 05:10:00,2021-11-01 05:11:42,2021-11-01 05:10:00,133.2,0,0.2,17,14
2021-11-01 05:15:00,2021-11-01 05:17:04,2021-11-01 05:15:00,189.8,129.53,0.2,14,13
2021-11-01 05:20:00,2021-11-01 05:22:24,2021-11-01 05:20:00,186.2,90.77,0.2,19,15
2021-11-01 05:30:00,2021-11-01 05:27:45,2021-11-01 05:30:00,183.1,35.7,0.2,17,12
2021-11-01 05:35:00,2021-11-01 05:33:07,2021-11-01 05:35:00,226.6,331.4,0.2,16,14
2021-11-01 05:40:00,2021-11-01 05:38:29,2021-11-01 05:40:00,181.5,0,0.2,16,14
2021-11-01 05:45:00,2021-11-01 05:43:51,2021-11-01 05:45:00,123.6,0,0.2,19,14
2021-11-01 05:50:00,2021-11-01 05:49:11,2021-11-01 05:50:00,183,35.68,0.2,12,10
2021-11-01 05:55:00,2021-11-01 05:54:32,2021-11-01 05:55:00,171.6,0,0.2,14,11
2021-11-01 06:00:00,2021-11-01 05:59:54,2021-11-01 06:00:00,174.7,0,0.2,12,10
2021-11-01 06:05:00,2021-11-01 06:05:16,2021-11-01 06:05:00,169,0,0.2,14,11
2021-11-01 06:10:00,2021-11-01 06:10:38,2021-11-01 06:10:00,180.3,0,0.2,12,10
2021-11-01 06:15:00,2021-11-01 06:16:00,2021-11-01 06:15:00,179.7,0,0.2,14,10
2021-11-01 06:20:00,2021-11-01 06:21:20,2021-11-01 06:20:00,165.3,0,0.2,12,11
2021-11-01 06:25:00,2021-11-01 06:26:41,2021-11-01 06:25:00,182.2,0,0.2,12,11
