,Time,Timestamp,DC Voltage PV1(V),AC Output Total Power (Active)(W),Daily Generation (Active)(kWh),Wind Speed ( MPH ),Wind Average ( MPH )
2021-10-11 00:05:00,2021-10-11 00:05:12,2021-10-11 00:05:00,188.7,128.78,0.1,28,23
2021-10-11 00:10:00,2021-10-11 00:10:34,2021-10-11 00:10:00,181.8,0,0.1,27,21
2021-10-11 00:15:00,2021-10-11 00:15:56,2021-10-11 00:15:00,206.2,201.04,0.1,30,23
2021-10-11 00:20:00,2021-10-11 00:21:18,2021-10-11 00:20:00,183.6,35.8,0.1,30,22
2021-10-11 00:25:00,2021-10-11 00:26:42,2021-10-11 00:25:00,186.8,91.06,0.1,30,24
2021-10-11 00:30:00,2021-10-11 00:32:03,2021-10-11 00:30:00,191.5,130.69,0.2,30,24
2021-10-11 00:35:00,2021-10-11 00:37:25,2021-10-11 00:35:00,227.7,266.4,0.2,32,25
2021-10-11 00:45:00,2021-10-11 00:42:47,2021-10-11 00:45:00,217.1,232.83,0.2,33,26
2021-10-11 00:50:00,2021-10-11 00:48:09,2021-10-11 00:50:00,232.1,339.44,0.2,32,24
2021-10-11 00:55:00,2021-10-11 00:53:30,2021-10-11 00:55:00,183.2,35.72,0.3,30,23
2021-10-11 01:00:00,2021-10-11 00:58:52,2021-10-11 01:00:00,220.1,257.51,0.3,30,24
2021-10-11 01:05:00,2021-10-11 01:04:14,2021-10-11 01:05:00,233.3,341.2,0.3,32,25
2021-10-11 01:10:00,2021-10-11 01:09:36,2021-10-11 01:10:00,229,267.93,0.3,30,24
2021-10-11 01:15:00,2021-10-11 01:14:58,2021-10-11 01:15:00,235.7,344.71,0.3,36,25
2021-10-11 01:20:00,2021-10-11 01:20:19,2021-10-11 01:20:00,308,900.9,0.4,35,25
2021-10-11 01:25:00,2021-10-11 01:25:41,2021-10-11 01:25:00,197.5,192.56,0.4,36,25
2021-10-11 01:30:00,2021-10-11 01:31:03,2021-10-11 01:30:00,182.2,35.52,0.4,30,25
2021-10-11 01:35:00,2021-10-11 01:36:25,2021-10-11 01:35:00,234.8,343.39,0.5,33,25
2021-10-11 01:40:00,2021-10-11 01:41:50,2021-10-11 01:40:00,216.1,210.69,0.5,32,24
2021-10-11 01:45:00,2021-10-11 01:47:11,2021-10-11 01:45:00,211.3,206.01,0.5,35,25
2021-10-11 01:55:00,2021-10-11 01:52:32,2021-10-11 01:55:00,189.3,129.19,0.5,33,25
2021-10-11 02:00:00,2021-10-11 01:57:54,2021-10-11 02:00:00,199.1,194.12,0.5,33,27
2021-10-11 02:05:00,2021-10-11 02:03:16,2021-10-11 02:05:00,184.1,89.74,0.6,35,28
2021-10-11 02:10:00,2021-10-11 02:08:38,2021-10-11 02:10:00,245.8,383.44,0.6,36,27
2021-10-11 02:15:00,2021-10-11 02:13:59,2021-10-11 02:15:00,296.7,781.06,0.6,33,26
2021-10-11 02:20:00,2021-10-11 02:19:21,2021-10-11 02:20:00,220.2,236.16,0.7,41,28
2021-10-11 02:25:00,2021-10-11 02:24:43,2021-10-11 02:25:00,246.6,408.73,0.7,40,29
2021-10-11 02:30:00,2021-10-11 02:30:05,2021-10-11 02:30:00,292.5,712.96,0.7,36,26
2021-10-11 02:35:00,2021-10-11 02:35:27,2021-10-11 02:35:00,233.3,341.2,0.8,36,24
2021-10-11 02:40:00,2021-10-11 02:40:48,2021-10-11 02:40:00,205.3,160.13,0.8,36,24
2021-10-11 02:45:00,2021-10-11 02:46:10,2021-10-11 02:45:00,176.5,0,0.8,28,22
2021-10-11 02:50:00,2021-10-11 02:51:32,2021-10-11 02:50:00,252.7,418.85,0.9,30,22
2021-10-11 02:55:00,2021-10-11 02:56:58,2021-10-11 02:55:00,187.3,91.3,0.9,28,20
2021-10-11 03:00:00,2021-10-11 03:02:18,2021-10-11 03:00:00,185,36.07,0.9,27,20
2021-10-11 03:10:00,2021-10-11 03:07:40,2021-10-11 03:10:00,256,424.32,0.9,20,17
2021-10-11 03:15:00,2021-10-11 03:13:02,2021-10-11 03:15:00,187.6,128.03,0.9,22,17
2021-10-11 03:20:00,2021-10-11 03:18:24,2021-10-11 03:20:00,203.5,198.41,1,22,15
2021-10-11 03:25:00,2021-10-11 03:23:46,2021-10-11 03:25:00,182.2,0,1,22,16
2021-10-11 03:30:00,2021-10-11 03:29:08,2021-10-11 03:30:00,186.2,90.77,1,17,13
2021-10-11 03:35:00,2021-10-11 03:34:29,2021-10-11 03:35:00,181.2,0,1,24,17
2021-10-11 03:40:00,2021-10-11 03:39:51,2021-10-11 03:40:00,221.1,258.68,1,19,15
2021-10-11 03:45:00,2021-10-11 03:45:13,2021-10-11 03:45:00,187.7,109.8,1,22,15
2021-10-11 03:50:00,2021-10-11 03:50:35,2021-10-11 03:50:00,186.6,90.96,1,19,15
2021-10-11 03:55:00,2021-10-11 03:55:57,2021-10-11 03:55:00,117.8,0,1,20,16
2021-10-11 04:00:00,2021-10-11 04:01:18,2021-10-11 04:00:00,233.5,341.49,1,20,16
2021-10-11 04:05:00,2021-10-11 04:06:40,2021-10-11 04:05:00,222.2,259.97,1,20,16
2021-10-11 04:10:00,2021-10-11 04:12:02,2021-10-11 04:10:00,204.6,199.48,1,22,16
2021-10-11 04:15:00,2021-10-11 04:17:24,2021-10-11 04:15:00,265.7,518.11,1,27,17
2021-10-11 04:25:00,2021-10-11 04:22:46,2021-10-11 04:25:00,188.3,128.51,1.1,22,18
2021-10-11 04:30:00,2021-10-11 04:28:29,2021-10-11 04:30:00,249.2,388.75,1.1,28,20
2021-10-11 04:35:00,2021-10-11 04:33:43,2021-10-11 04:35:00,184.7,90.04,1.1,22,17
2021-10-11 04:40:00,2021-10-11 04:39:05,2021-10-11 04:40:00,226.8,265.35,1.1,20,17
2021-10-11 04:45:00,2021-10-11 04:44:27,2021-10-11 04:45:00,191.3,130.56,1.1,24,17
2021-10-11 04:50:00,2021-10-11 04:49:50,2021-10-11 04:50:00,238.7,349.09,1.1,24,18
2021-10-11 04:55:00,2021-10-11 04:55:13,2021-10-11 04:55:00,180.2,0,1.1,24,19
2021-10-11 05:00:00,2021-10-11 05:00:36,2021-10-11 05:00:00,221.7,259.38,1.1,20,17
2021-10-11 05:05:00,2021-10-11 05:05:59,2021-10-11 05:05:00,230.3,269.45,1.1,25,18
2021-10-11 05:10:00,2021-10-11 05:11:23,2021-10-11 05:10:00,183.2,35.72,1.2,20,16
2021-10-11 05:15:00,2021-10-11 05:16:46,2021-10-11 05:15:00,214.1,208.74,1.2,22,18
2021-10-11 05:20:00,2021-10-11 05:22:09,2021-10-11 05:20:00,181.3,0,1.2,24,18
2021-10-11 05:30:00,2021-10-11 05:27:32,2021-10-11 05:30:00,209.5,204.26,1.2,25,19
2021-10-11 05:35:00,2021-10-11 05:32:55,2021-10-11 05:35:00,213.1,207.77,1.2,25,19
2021-10-11 05:40:00,2021-10-11 05:38:18,2021-10-11 05:40:00,187.1,91.21,1.2,27,19
2021-10-11 05:45:00,2021-10-11 05:43:40,2021-10-11 05:45:00,187.8,128.17,1.2,24,20
2021-10-11 05:50:00,2021-10-11 05:49:03,2021-10-11 05:50:00,192.2,131.17,1.2,24,19
2021-10-11 05:55:00,2021-10-11 05:54:26,2021-10-11 05:55:00,207.7,202.5,1.2,24,18
2021-10-11 06:00:00,2021-10-11 05:59:49,2021-10-11 06:00:00,210.6,205.33,1.3,24,18
2021-10-11 06:05:00,2021-10-11 06:05:12,2021-10-11 06:05:00,188.7,91.99,1.3,25,18
2021-10-11 06:10:00,2021-10-11 06:10:35,2021-10-11 06:10:00,194.2,132.54,1.3,22,15
2021-10-11 06:15:00,2021-10-11 06:15:58,2021-10-11 06:15:00,202.2,197.14,1.3,20,16
2021-10-11 06:20:00,2021-10-11 06:21:22,2021-10-11 06:20:00,184.5,35.97,1.3,22,16
2021-10-11 06:25:00,2021-10-11 06:26:44,2021-10-11 06:25:00,186.5,36.36,1.3,22,16
2021-10-11 06:30:00,2021-10-11 06:32:07,2021-10-11 06:30:00,146.1,0,1.3,20,13
2021-10-11 06:40:00,2021-10-11 06:37:30,2021-10-11 06:40:00,213.1,207.77,1.3,19,15
2021-10-11 06:45:00,2021-10-11 06:42:53,2021-10-11 06:45:00,199.6,194.6,1.3,17,14
2021-10-11 06:50:00,2021-10-11 06:48:16,2021-10-11 06:50:00,175.3,0,1.3,19,16
2021-10-11 06:55:00,2021-10-11 06:53:40,2021-10-11 06:55:00,151.3,0,1.3,19,16
2021-10-11 07:00:00,2021-10-11 06:59:03,2021-10-11 07:00:00,203.6,198.51,1.3,22,17
2021-10-11 07:05:00,2021-10-11 07:04:26,2021-10-11 07:05:00,197.5,134.79,1.3,22,17
2021-10-11 07:10:00,2021-10-11 07:09:49,2021-10-11 07:10:00,158.1,0,1.3,19,14
2021-10-11 07:15:00,2021-10-11 07:15:12,2021-10-11 07:15:00,160.6,0,1.4,17,14
2021-10-11 07:20:00,2021-10-11 07:20:35,2021-10-11 07:20:00,126.5,0,1.4,22,17
2021-10-11 07:25:00,2021-10-11 07:25:58,2021-10-11 07:25:00,163.5,0,1.4,22,17
2021-10-11 07:30:00,2021-10-11 07:31:21,2021-10-11 07:30:00,152.6,0,1.4,19,14
2021-10-11 07:35:00,2021-10-11 07:36:44,2021-10-11 07:35:00,175.6,0,1.4,17,14
2021-10-11 07:40:00,2021-10-11 07:42:07,2021-10-11 07:40:00,176.7,0,1.4,19,15
2021-10-11 07:50:00,2021-10-11 07:47:30,2021-10-11 07:50:00,182,0,1.4,20,15
2021-10-11 07:55:00,2021-10-11 07:52:53,2021-10-11 07:55:00,192.2,131.17,1.4,19,15
2021-10-11 08:00:00,2021-10-11 07:58:16,2021-10-11 08:00:00,188.6,91.94,1.4,19,13
2021-10-11 08:05:00,2021-10-11 08:03:39,2021-10-11 08:05:00,205.1,199.97,1.4,16,11
2021-10-11 08:10:00,2021-10-11 08:09:02,2021-10-11 08:10:00,154.6,0,1.4,19,12
2021-10-11 08:15:00,2021-10-11 08:14:25,2021-10-11 08:15:00,181.3,0,1.4,19,13
2021-10-11 08:20:00,2021-10-11 08:19:48,2021-10-11 08:20:00,221.6,259.27,1.4,17,14
2021-10-11 08:25:00,2021-10-11 08:25:10,2021-10-11 08:25:00,187.5,54.84,1.4,17,12
2021-10-11 08:30:00,2021-10-11 08:30:33,2021-10-11 08:30:00,193.1,150.61,1.4,16,12
2021-10-11 08:35:00,2021-10-11 08:35:56,2021-10-11 08:35:00,161.2,0,1.4,16,11
2021-10-11 08:40:00,2021-10-11 08:41:20,2021-10-11 08:40:00,130.6,0,1.4,16,11
2021-10-11 08:45:00,2021-10-11 08:46:43,2021-10-11 08:45:00,181.7,0,1.4,20,14
2021-10-11 08:50:00,2021-10-11 08:52:06,2021-10-11 08:50:00,148.6,0,1.4,17,13
2021-10-11 09:00:00,2021-10-11 08:57:31,2021-10-11 09:00:00,180.2,0,1.4,16,10
2021-10-11 09:05:00,2021-10-11 09:02:54,2021-10-11 09:05:00,141.7,0,1.4,17,12
2021-10-11 09:10:00,2021-10-11 09:08:17,2021-10-11 09:10:00,183.5,0,1.4,19,13
2021-10-11 09:15:00,2021-10-11 09:13:39,2021-10-11 09:15:00,203.7,198.6,1.4,17,13
2021-10-11 09:20:00,2021-10-11 09:19:02,2021-10-11 09:20:00,182.1,0,1.4,11,8
2021-10-11 09:25:00,2021-10-11 09:24:25,2021-10-11 09:25:00,47.2,0,1.4,16,11
2021-10-11 09:30:00,2021-10-11 09:29:48,2021-10-11 09:30:00,183.7,35.82,1.4,17,12
2021-10-11 09:35:00,2021-10-11 09:35:11,2021-10-11 09:35:00,141.6,0,1.4,17,13
2021-10-11 09:40:00,2021-10-11 09:40:36,2021-10-11 09:40:00,199,194.02,1.4,17,14
2021-10-11 09:45:00,2021-10-11 09:45:59,2021-10-11 09:45:00,185.2,36.11,1.5,11,8
2021-10-11 09:50:00,2021-10-11 09:51:22,2021-10-11 09:50:00,168.8,0,1.5,12,9
2021-10-11 09:55:00,2021-10-11 09:56:45,2021-10-11 09:55:00,183.5,17.89,1.5,17,12
2021-10-11 10:00:00,2021-10-11 10:02:08,2021-10-11 10:00:00,183.2,35.72,1.5,19,14
2021-10-11 10:10:00,2021-10-11 10:07:30,2021-10-11 10:10:00,188.7,91.99,1.5,16,13
2021-10-11 10:15:00,2021-10-11 10:12:53,2021-10-11 10:15:00,187.1,91.21,1.5,11,6
2021-10-11 10:20:00,2021-10-11 10:18:16,2021-10-11 10:20:00,74.1,0,1.5,12,9
2021-10-11 10:25:00,2021-10-11 10:23:39,2021-10-11 10:25:00,159.5,0,1.5,12,10
2021-10-11 10:30:00,2021-10-11 10:29:03,2021-10-11 10:30:00,144.1,0,1.5,14,10
2021-10-11 10:35:00,2021-10-11 10:34:26,2021-10-11 10:35:00,181.2,0,1.5,14,10
2021-10-11 10:40:00,2021-10-11 10:39:49,2021-10-11 10:40:00,138,0,1.5,14,9
2021-10-11 10:45:00,2021-10-11 10:45:12,2021-10-11 10:45:00,179.1,0,1.5,14,8
2021-10-11 10:50:00,2021-10-11 10:50:35,2021-10-11 10:50:00,204,198.9,1.5,16,13
2021-10-11 10:55:00,2021-10-11 10:55:58,2021-10-11 10:55:00,117.7,0,1.5,16,10
2021-10-11 11:00:00,2021-10-11 11:01:22,2021-10-11 11:00:00,156.8,0,1.5,14,10
2021-10-11 11:05:00,2021-10-11 11:06:47,2021-10-11 11:05:00,186.5,90.91,1.5,16,11
2021-10-11 11:10:00,2021-10-11 11:12:10,2021-10-11 11:10:00,187.6,128.03,1.5,17,12
2021-10-11 11:20:00,2021-10-11 11:17:34,2021-10-11 11:20:00,93.2,0,1.5,11,7
2021-10-11 11:25:00,2021-10-11 11:22:57,2021-10-11 11:25:00,100.7,0,1.5,8,5
2021-10-11 11:30:00,2021-10-11 11:28:20,2021-10-11 11:30:00,39.5,0,1.5,8,4
2021-10-11 11:35:00,2021-10-11 11:33:43,2021-10-11 11:35:00,16.2,0,1.5,4,1
2021-10-11 11:40:00,2021-10-11 11:39:06,2021-10-11 11:40:00,8.2,0,1.5,0,0
2021-10-11 12:35:00,2021-10-11 12:32:56,2021-10-11 12:35:00,191.1,130.42,1.5,16,16
2021-10-11 12:40:00,2021-10-11 12:38:19,2021-10-11 12:40:00,171.3,0,1.5,20,17
2021-10-11 12:45:00,2021-10-11 12:43:42,2021-10-11 12:45:00,209.1,203.87,1.5,17,12
2021-10-11 12:50:00,2021-10-11 12:49:05,2021-10-11 12:50:00,100.2,0,1.5,17,12
2021-10-11 12:55:00,2021-10-11 12:54:28,2021-10-11 12:55:00,141.5,0,1.5,14,9
2021-10-11 13:00:00,2021-10-11 12:59:56,2021-10-11 13:00:00,52,0,1.5,11,10
2021-10-11 13:05:00,2021-10-11 13:07:14,2021-10-11 13:05:00,64.8,0,1.5,8,8
2021-10-11 13:15:00,2021-10-11 13:12:36,2021-10-11 13:15:00,126.6,0,1.5,9,9
2021-10-11 13:40:00,2021-10-11 13:39:26,2021-10-11 13:40:00,138.5,0,1.5,16,16
2021-10-11 14:30:00,2021-10-11 14:27:44,2021-10-11 14:30:00,180.5,0,1.6,24,17
2021-10-11 14:35:00,2021-10-11 14:33:06,2021-10-11 14:35:00,186.5,90.91,1.6,19,13
2021-10-11 14:40:00,2021-10-11 14:38:28,2021-10-11 14:40:00,187.8,91.55,1.6,19,15
2021-10-11 14:45:00,2021-10-11 14:43:50,2021-10-11 14:45:00,207.7,202.5,1.6,30,24
2021-10-11 14:50:00,2021-10-11 14:49:12,2021-10-11 14:50:00,222.1,259.85,1.7,32,24
2021-10-11 14:55:00,2021-10-11 14:54:34,2021-10-11 14:55:00,286.2,697.61,1.7,33,27
2021-10-11 15:00:00,2021-10-11 14:59:56,2021-10-11 15:00:00,238.6,348.95,1.7,43,30
2021-10-11 15:05:00,2021-10-11 15:05:18,2021-10-11 15:05:00,318.6,1025.09,1.8,43,30
2021-10-11 15:10:00,2021-10-11 15:10:40,2021-10-11 15:10:00,251.7,417.19,1.8,41,30
2021-10-11 15:15:00,2021-10-11 15:16:02,2021-10-11 15:15:00,190.5,92.86,1.9,33,25
2021-10-11 15:20:00,2021-10-11 15:21:24,2021-10-11 15:20:00,191,93.11,1.9,20,20
2021-10-11 15:35:00,2021-10-11 15:37:29,2021-10-11 15:35:00,198.2,96.62,2,27,27
2021-10-11 15:45:00,2021-10-11 15:42:51,2021-10-11 15:45:00,180.2,0,2,20,17
2021-10-11 15:50:00,2021-10-11 15:48:14,2021-10-11 15:50:00,182,0,2,16,15
2021-10-11 15:55:00,2021-10-11 15:53:35,2021-10-11 15:55:00,189.6,129.4,2,22,19
2021-10-11 16:00:00,2021-10-11 15:58:57,2021-10-11 16:00:00,190.3,92.77,2,28,24
2021-10-11 16:05:00,2021-10-11 16:04:19,2021-10-11 16:05:00,181.5,0,2,33,23
